element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""581.0243""","=""0.0010""","=""9""","=""2.10e+06""",C+,"=""26.379157""","=""28.512453""","=""2s.2p4""","=""2P""","=""1/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T6172n""","=""L10621""",
C,2,"=""581.8300""","=""0.0020""","=""6""","=""6.76e+06""",B,"=""22.527518""","=""24.657857""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""582.314""","=""0.010""","=""6*""","=""1.35e+06""",B,"=""22.527518""","=""24.656151""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""582.314""","=""0.010""","=""6*""","=""6.76e+06""",B,"=""22.529299""","=""24.657857""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""582.7850""","=""0.0020""","=""6""","=""8.64e+06""",B,"=""22.529299""","=""24.656151""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""583.6350""","=""0.0010""","=""10""","=""1.69e+07""",B,"=""22.532400""","=""24.656151""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""584.3610""","=""0.0020""","=""6""","=""7.20e+06""",B,"=""22.532400""","=""24.653514""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""585.6040""","=""0.0010""","=""12""","=""3.19e+07""",B,"=""22.536905""","=""24.653514""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""588.9270""","=""0.0010""","=""16""","=""1.40e+07""",B,"=""18.045807""","=""20.150477""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.4p""","=""2P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""588.9770""","=""0.0010""","=""120""","=""1.26e+08""",B,"=""18.045987""","=""20.150477""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.4p""","=""2P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""589.1590""","=""0.0010""","=""59""","=""6.98e+07""",B,"=""18.045807""","=""20.149652""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.4p""","=""2P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""590.7210""","=""0.0010""","=""16""","=""8.00e+07""",C+,"=""24.653514""","=""26.751796""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""591.4640""","=""0.0010""","=""9""","=""4.88e+07""",C+,"=""24.656151""","=""26.751796""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""591.9450""","=""0.0010""","=""7""","=""2.3e+07""",C,"=""24.657857""","=""26.751796""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""",,"=""T10528""","=""L1176""",
O,1,"=""595.839""","=""0.010""","=""160*""","=""1.13e+06""",C+,"=""10.9887923""","=""13.0690514""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(4S*).5d""","=""3D*""","=""1""",,"=""T5713LS""","=""L3760""",
O,1,"=""595.839""","=""0.010""","=""160*""","=""3.40e+06""",C+,"=""10.9887923""","=""13.0690514""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(4S*).5d""","=""3D*""","=""2""",,"=""T5713LS""","=""L3760""",
O,1,"=""595.858""","=""0.010""","=""190*""","=""1.14e+06""",C+,"=""10.9888616""","=""13.0690514""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).5d""","=""3D*""","=""2""",,"=""T5713LS""","=""L3760""",
O,1,"=""595.858""","=""0.010""","=""190*""","=""7.56e+04""",C,"=""10.9888616""","=""13.0690514""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).5d""","=""3D*""","=""1""",,"=""T5713LS""","=""L3760""",
O,1,"=""595.858""","=""0.010""","=""190*""","=""6.34e+06""",C+,"=""10.9888616""","=""13.0690514""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).5d""","=""3D*""","=""3""",,"=""T5713LS""","=""L3760""",
C,1,"=""596.9326""","=""0.0014""","=""18000""","=""1.8e+05""",C,"=""7.945771557""","=""10.022216175""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.4p""","=""3D""","=""3""",,"=""T6070""","=""L17684""",
C,2,"=""603.796""","=""0.004""","=""3h""","=""1.77e+08""",C+,"=""27.295185""","=""29.348031""","=""2s.2p.(3P*).4d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).6f""","=""4F""","=""9/2""",,"=""T10528""","=""L1176""",
O,1,"=""604.623""","=""0.010""","=""160""","=""3.15e+06""",C+,"=""10.9887923""","=""13.0388270""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(4S*).6s""","=""3S*""","=""1""",,"=""T5713LS""","=""L3760""",
O,1,"=""604.644""","=""0.010""","=""190""","=""5.25e+06""",C+,"=""10.9888616""","=""13.0388270""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).6s""","=""3S*""","=""1""",,"=""T5713LS""","=""L3760""",
O,1,"=""604.649""","=""0.010""","=""110""","=""1.05e+06""",C+,"=""10.9888811""","=""13.0388270""","=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","=""2s2.2p3.(4S*).6s""","=""3S*""","=""1""",,"=""T5713LS""","=""L3760""",
C,2,"=""609.5290""","=""0.0020""","=""33""","=""1.68e+08""",B,"=""22.568086""","=""24.601624""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""609.8510""","=""0.0020""","=""30""","=""3.02e+08""",B+,"=""22.570504""","=""24.602961""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""T2440""","=""L1176""",
C,2,"=""610.2560""","=""0.0020""","=""14""","=""3.35e+07""",B,"=""22.570504""","=""24.601624""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""T5109LS""","=""L1176""",
Ca,1,"=""610.272""","=""0.010""","=""27""","=""2.9e+07""",C,"=""1.8793402""","=""3.9103990""","=""3p6.4s.4p""","=""3P*""","=""0""","=""3p6.4s.5s""","=""3S""","=""1""",,"=""T8043""","=""L6097""",
O,2,"=""611.2987""","=""0.0010""","=""7""","=""1.46e+07""",C,"=""29.586034""","=""31.613683""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""","=""2s.2p3.(5S*).3s""","=""4S*""","=""3/2""",,"=""T5723LS""","=""L10621""",
Ca,1,"=""612.222""","=""0.010""","=""29""","=""8.61e+07""",C,"=""1.8858075""","=""3.9103990""","=""3p6.4s.4p""","=""3P*""","=""1""","=""3p6.4s.5s""","=""3S""","=""1""",,"=""T8043""","=""L6097""",
C,2,"=""615.143""","=""0.003""","=""36Hql*""","=""1.24e+08""",B,"=""20.844740""","=""22.859729""","=""2s2.4d""","=""2D""","=""3/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""T7476""","=""L1176""",
C,2,"=""615.143""","=""0.003""","=""36Hql*""","=""1.77e+08""",B,"=""20.844765""","=""22.859734""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""7/2""",,"=""T7476""","=""L1176""",
C,2,"=""615.143""","=""0.003""","=""36Hql*""","=""8.4e+06""",C,"=""20.844765""","=""22.859729""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""T10276""","=""L1176""",
O,2,"=""615.2566""","=""0.0010""","=""8""","=""2.86e+07""",C,"=""29.599076""","=""31.613683""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""","=""2s.2p3.(5S*).3s""","=""4S*""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,1,"=""615.598""","=""0.010""","=""400""","=""1.72e+07""",B+,"=""10.7402250""","=""12.7537158""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""1""",,"=""T5803,LS""","=""L3760""",
O,1,"=""615.677""","=""0.010""","=""450""","=""3.56e+07""",B+,"=""10.7404756""","=""12.7537024""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""3""",,"=""T5803,LS""","=""L3760""",
O,1,"=""615.818""","=""0.010""","=""490""","=""6.86e+07""",B+,"=""10.7409314""","=""12.7536973""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).4d""","=""5D*""","=""4""",,"=""T5803,LS""","=""L3760""",
Ca,1,"=""616.217""","=""0.010""","=""30""","=""1.43e+08""",C,"=""1.8989349""","=""3.9103990""","=""3p6.4s.4p""","=""3P*""","=""2""","=""3p6.4s.5s""","=""3S""","=""1""",,"=""T8043""","=""L6097""",
O,2,"=""621.4250""","=""0.0010""","=""9""","=""4.16e+07""",C,"=""29.619076""","=""31.613683""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""","=""2s.2p3.(5S*).3s""","=""4S*""","=""3/2""",,"=""T5723LS""","=""L10621""",
C,2,"=""624.657""","=""0.004""","=""4bl(Ne)""","=""1.1e+07""",C,"=""24.601624""","=""26.585924""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""625.0740""","=""0.0020""","=""15""","=""1.04e+08""",C+,"=""24.602961""","=""26.585924""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""625.384""","=""0.004""","=""6""","=""1.4e+07""",C,"=""24.653514""","=""26.635493""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""625.654""","=""0.004""","=""6""","=""5.74e+07""",C+,"=""24.601624""","=""26.582750""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""T10528""","=""L1176""",
C,2,"=""625.7117""","=""0.0018""","=""11""","=""1.17e+07""",B,"=""20.149652""","=""22.130595""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.5d""","=""2D""","=""3/2""",,"=""T5109LS""","=""L21568,L1176""",
C,2,"=""625.959""","=""0.003""","=""19h*""","=""2.11e+07""",B,"=""20.150477""","=""22.130626""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""625.959""","=""0.003""","=""19h*""","=""2.34e+06""",B,"=""20.150477""","=""22.130595""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""627.579""","=""0.004""","=""4""","=""6.6e+06""",C,"=""24.656151""","=""26.631221""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""",,"=""T10528""","=""L1176""",
C,2,"=""628.456""","=""0.004""","=""3""","=""3.4e+06""",C,"=""24.656151""","=""26.628437""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""629.001""","=""0.004""","=""4""","=""2.7e+06""",C,"=""24.657857""","=""26.628437""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""629.520""","=""0.004""","=""3""","=""2.6e+06""",C,"=""24.657857""","=""26.626817""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""",,"=""T10528""","=""L1176""",
C,2,"=""638.572""","=""0.004""","=""5h""","=""4.35e+07""",C+,"=""26.635493""","=""28.576543""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""2s.2p.(3P*).5d""","=""4F*""","=""9/2""",,"=""T10528""","=""L1176""",
O,1,"=""645.360""","=""0.010""","=""320""","=""8.25e+06""",C+,"=""10.7402250""","=""12.6608569""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).5s""","=""5S*""","=""2""",,"=""T5713LS""","=""L3760""",
O,1,"=""645.444""","=""0.010""","=""360""","=""1.38e+07""",C+,"=""10.7404756""","=""12.6608569""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).5s""","=""5S*""","=""2""",,"=""T5713LS""","=""L3760""",
O,1,"=""645.598""","=""0.010""","=""400""","=""1.92e+07""",C+,"=""10.7409314""","=""12.6608569""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).5s""","=""5S*""","=""2""",,"=""T5713LS""","=""L3760""",
C,2,"=""646.185""","=""0.004""","=""64*""","=""1.76e+08""",B,"=""20.950632""","=""22.868823""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6g""","=""2G""","=""7/2""",,"=""T7476""","=""L21568,L1176""",
C,2,"=""646.185""","=""0.004""","=""64*""","=""2.29e+08""",B,"=""20.950654""","=""22.868828""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.6g""","=""2G""","=""9/2""",,"=""T7476""","=""L21568,L1176""",
C,2,"=""646.185""","=""0.004""","=""64*""","=""6.5e+06""",C,"=""20.950654""","=""22.868823""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.6g""","=""2G""","=""7/2""",,"=""T10276""","=""L21568,L1176""",
C,2,"=""657.80481""","=""0.00008""","=""510""","=""1.46e+08""",A,"=""14.4488269""","=""16.3331238""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.3p""","=""2P*""","=""3/2""",,"=""T7194""","=""L22145,L21572""",
C,2,"=""658.28764""","=""0.00012""","=""310""","=""7.30e+07""",A,"=""14.4488269""","=""16.3317419""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.3p""","=""2P*""","=""1/2""",,"=""T7194""","=""L22145,L21572""",
C,1,"=""658.7608""","=""0.0014""","=""40000""","=""1.5e+07""",B,"=""8.53709962""","=""10.41865840""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.4d""","=""1P*""","=""1""",,"=""T5520,T6070""","=""L17684""",
O,2,"=""664.1054""","=""0.0010""","=""24""","=""1.98e+07""",B+,"=""23.4191946""","=""25.2856211""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""",,"=""T6172n""","=""L10621""",
C,1,"=""665.5509""","=""0.0014""","=""20000""","=""1.5e+06""",C,"=""8.53709962""","=""10.3994604""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.5s""","=""1P*""","=""1""",,"=""T5520,T6070""","=""L17684""",
C,1,"=""666.2733""","=""0.0014""","=""5300""","=""1.1e+06""",C,"=""8.848124381""","=""10.708468""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.6s""","=""3P*""","=""2""",,"=""T5520LS""","=""L17684""",
C,1,"=""667.1840""","=""0.0014""","=""11000""","=""3.4e+06""",C,"=""8.850662829""","=""10.708468""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.6s""","=""3P*""","=""2""",,"=""T5520LS""","=""L17684""",
C,1,"=""667.4110""","=""0.0014""","=""8300""","=""9.0e+05""",C,"=""8.84658790""","=""10.7037605""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s2.2p.6s""","=""3P*""","=""1""",,"=""T5520LS""","=""L17684""",
C,1,"=""668.3954""","=""0.0014""","=""8400""","=""8.9e+05""",C,"=""8.848124381""","=""10.702560""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.6s""","=""3P*""","=""0""",,"=""T5520LS""","=""L17684""",
C,1,"=""668.8787""","=""0.0014""","=""8400""","=""1.1e+06""",C,"=""8.850662829""","=""10.7037605""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.6s""","=""3P*""","=""1""",,"=""T5520LS""","=""L17684""",
C,1,"=""671.1291""","=""0.0014""","=""3500""","=""3.0e+05""",C,"=""8.53709962""","=""10.38397899""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T6070""","=""L17684""",
O,2,"=""672.1398""","=""0.0010""","=""26""","=""3.62e+07""",B+,"=""23.4415082""","=""25.2856211""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""",,"=""T6172n""","=""L10621""",
C,2,"=""672.365""","=""0.004""","=""5h*""","=""2.1e+06""",C,"=""20.844740""","=""22.688255""","=""2s2.4d""","=""2D""","=""3/2""","=""2s2.6p""","=""2P*""","=""3/2""",,"=""T10276""","=""L1176""",
C,2,"=""672.365""","=""0.004""","=""5h*""","=""1.9e+07""",C,"=""20.844765""","=""22.688255""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.6p""","=""2P*""","=""3/2""",,"=""T10276""","=""L1176""",
C,2,"=""672.365""","=""0.004""","=""5h*""","=""1.03e+07""",B,"=""20.844740""","=""22.688229""","=""2s2.4d""","=""2D""","=""3/2""","=""2s2.6p""","=""2P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""672.456""","=""0.004""","=""6""","=""1.26e+07""",B,"=""22.527518""","=""24.370757""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""672.719""","=""0.010""","=""10*""","=""1.27e+07""",B,"=""22.527518""","=""24.370080""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""672.719""","=""0.010""","=""10*""","=""1.78e+07""",B,"=""22.529299""","=""24.371800""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""673.1070""","=""0.0020""","=""14""","=""2.02e+07""",B,"=""22.529299""","=""24.370757""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""673.358""","=""0.004""","=""6""","=""1.27e+07""",B,"=""22.529299""","=""24.370080""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""673.400""","=""0.004""","=""6""","=""1.44e+07""",B,"=""22.532400""","=""24.373054""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""673.8620""","=""0.0020""","=""18""","=""4.34e+07""",B,"=""22.532400""","=""24.371800""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""674.2430""","=""0.0020""","=""8""","=""1.76e+07""",B,"=""22.532400""","=""24.370757""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""675.0550""","=""0.0020""","=""30""","=""8.64e+07""",B,"=""22.536905""","=""24.373054""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""675.5160""","=""0.0020""","=""8""","=""1.43e+07""",B,"=""22.536905""","=""24.371800""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""677.9930""","=""0.0020""","=""40""","=""1.50e+08""",B+,"=""20.704213""","=""22.532400""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""",,"=""T2440""","=""L1176""",
C,2,"=""678.0610""","=""0.0020""","=""19""","=""5.96e+07""",B+,"=""20.701289""","=""22.529299""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""",,"=""T2440""","=""L1176""",
C,2,"=""678.3900""","=""0.0020""","=""24""","=""2.83e+08""",B+,"=""20.709791""","=""22.536905""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""",,"=""T2440""","=""L1176""",
C,2,"=""678.7220""","=""0.0020""","=""25""","=""5.90e+07""",B+,"=""20.701289""","=""22.527518""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""",,"=""T2440""","=""L1176""",
C,2,"=""679.1470""","=""0.0020""","=""27""","=""7.52e+07""",B+,"=""20.704213""","=""22.529299""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""",,"=""T2440""","=""L1176""",
C,2,"=""679.8110""","=""0.0020""","=""8""","=""1.16e+07""",B+,"=""20.704213""","=""22.527518""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""",,"=""T2440""","=""L1176""",
C,2,"=""680.0680""","=""0.0020""","=""24""","=""6.24e+07""",B+,"=""20.709791""","=""22.532400""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""",,"=""T2440""","=""L1176""",
C,2,"=""681.2290""","=""0.0020""","=""8""","=""6.84e+06""",B+,"=""20.709791""","=""22.529299""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""",,"=""T2440""","=""L1176""",
C,2,"=""682.140""","=""0.005""","=""16p(N II)*""","=""1.0e+07""",C,"=""22.187763""","=""24.004847""","=""2s2.5f""","=""2F*""","=""5/2""","=""2s2.12g""","=""2G""","=""7/2""",,"=""T10528""","=""L21568,L22145""",
C,2,"=""682.140""","=""0.005""","=""16p(N II)*""","=""1.4e+07""",C,"=""22.187773""","=""24.004847""","=""2s2.5f""","=""2F*""","=""7/2""","=""2s2.12g""","=""2G""","=""9/2""",,"=""T10528""","=""L21568,L22145""",
C,1,"=""682.8117""","=""0.0014""","=""27000""","=""5.0e+06""",C,"=""8.53709962""","=""10.35238138""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.4d""","=""1D*""","=""2""",,"=""T5520,T6070""","=""L17684""",
O,2,"=""684.6813""","=""0.0010""","=""11""","=""2.54e+07""",C,"=""28.6934114""","=""30.5037449""","=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""7/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""686.9485""","=""0.0010""","=""11""","=""3.21e+07""",C,"=""28.6837551""","=""30.4881141""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""688.4911""","=""0.0010""","=""11""","=""2.45e+07""",C,"=""28.6770648""","=""30.477387""","=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""689.5109""","=""0.0010""","=""22""","=""2.18e+08""",C,"=""28.7060920""","=""30.5037449""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""7/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""690.6443""","=""0.0010""","=""19""","=""1.49e+08""",C,"=""28.6934114""","=""30.4881141""","=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""690.7872""","=""0.0010""","=""15""","=""6.06e+07""",C,"=""28.6770648""","=""30.471394""","=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""691.0562""","=""0.0010""","=""19""","=""9.72e+07""",C,"=""28.6837551""","=""30.477387""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,1,"=""700.192""","=""0.010""","=""360""","=""1.32e+07""",B,"=""10.9887923""","=""12.7590208""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""",,"=""T5803,LS""","=""L3760""",
O,1,"=""700.223""","=""0.010""","=""450""","=""2.47e+07""",B,"=""10.9888616""","=""12.7590123""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""",,"=""T5803,LS""","=""L3760""",
C,2,"=""704.6260""","=""0.0020""","=""11""","=""6.42e+07""",B,"=""22.898766""","=""24.657857""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""705.3090""","=""0.0020""","=""18""","=""1.28e+08""",B,"=""22.898766""","=""24.656151""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,1,"=""705.6871""","=""0.0014""","=""2700""","=""4.8e+05""",C,"=""8.643023685""","=""10.3994604""","=""2s2.2p.3p""","=""3D""","=""2""","=""2s2.2p.5s""","=""1P*""","=""1""",,"=""T6070""","=""L17684""",
