element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,2,"=""243.3490""","=""0.0020""","=""24""","=""1.78e+07""",B,"=""22.898766""","=""27.99213""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""243.3534""","=""0.0010""","=""20""","=""1.68e+08""",B,"=""23.4191946""","=""28.512453""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T6172n""","=""L10621""",
C,2,"=""243.424""","=""0.004""","=""40wh""","=""6.26e+08""",C+,"=""24.277795""","=""29.36951""","=""2s.2p.(3P*).3d""","=""4F*""","=""9/2""","=""2s.2p.(3P*).6f""","=""4G""","=""11/2""",,"=""T10528""","=""L1176""",
C,2,"=""243.481""","=""0.006""","=""31wh*""","=""2.4e+08""",C,"=""24.270232""","=""29.36123""","=""2s.2p.(3P*).3d""","=""4F*""","=""3/2""","=""2s.2p.(3P*).6f""","=""4G""","=""5/2""",,"=""T10528""","=""L1176""",
C,2,"=""243.481""","=""0.006""","=""31wh*""","=""2.3e+08""",C,"=""24.271876""","=""29.36233""","=""2s.2p.(3P*).3d""","=""4F*""","=""5/2""","=""2s.2p.(3P*).6f""","=""4G""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""243.481""","=""0.006""","=""31wh*""","=""3.9e+08""",C,"=""24.274339""","=""29.36470""","=""2s.2p.(3P*).3d""","=""4F*""","=""7/2""","=""2s.2p.(3P*).6f""","=""4G""","=""9/2""",,"=""T10528""","=""L1176""",
O,2,"=""243.6051""","=""0.0010""","=""14""","=""6.76e+07""",C+,"=""25.661347""","=""30.749350""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(3P).4p""","=""2D*""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""244.4248""","=""0.0010""","=""16""","=""3.02e+07""",B,"=""23.4415082""","=""28.512453""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T6172n""","=""L10621""",
O,2,"=""244.5538""","=""0.0010""","=""22""","=""2.99e+08""",B,"=""23.4415082""","=""28.509803""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""T6172n""","=""L10621""",
C,1,"=""247.85612""","=""0.00010""","=""640000000""","=""8.4e+07""",C+,"=""2.6840136""","=""7.68476777""","=""2s2.2p2""","=""1S""","=""0""","=""2s2.2p.3s""","=""1P*""","=""1""",,"=""T7851""","=""L20057c182""",
C,2,"=""249.087""","=""0.006""","=""39wh*""","=""5.5e+07""",C,"=""24.371800""","=""29.34784""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).6f""","=""2F""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""249.087""","=""0.006""","=""39wh*""","=""1.1e+08""",C,"=""24.370080""","=""29.3461""","=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""","=""2s.2p.(3P*).6f""","=""4F""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""249.137""","=""0.004""","=""39wh""","=""3.5e+08""",C,"=""24.373054""","=""29.348031""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).6f""","=""4F""","=""9/2""",,"=""T10528""","=""L1176""",
C,2,"=""250.9121""","=""0.0007""","=""670""","=""1.88e+08""",A,"=""13.715650""","=""18.655493""","=""2s.2p2""","=""2P""","=""1/2""","=""2p3""","=""2D*""","=""3/2""",,"=""T7194""","=""L1176""",
C,2,"=""251.1734""","=""0.0007""","=""250""","=""3.70e+07""",A,"=""13.720784""","=""18.655493""","=""2s.2p2""","=""2P""","=""3/2""","=""2p3""","=""2D*""","=""3/2""",,"=""T7194""","=""L1176""",
C,2,"=""251.2065""","=""0.0007""","=""1000""","=""3.37e+08""",A,"=""13.720784""","=""18.654858""","=""2s.2p2""","=""2P""","=""3/2""","=""2p3""","=""2D*""","=""5/2""",,"=""T7194""","=""L1176""",
C,2,"=""253.8980""","=""0.0020""","=""38""","=""5.20e+07""",B,"=""23.116074""","=""27.99786""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""254.0390""","=""0.0020""","=""48""","=""1.21e+08""",B,"=""23.118841""","=""27.99786""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""254.0880""","=""0.0020""","=""29""","=""4.80e+07""",B,"=""23.114048""","=""27.99213""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""254.345""","=""0.006""","=""53*""","=""5.16e+07""",B,"=""23.118841""","=""27.99213""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
